Name	Set	ImageFile	Rarity	Color	Cost	Inkwell	Classifications	Strength	Willpower	Lore	Text	Script
Genie, On the Job	tfc	209_en_genie-716.jpg	E	Emerald	6	0	Storyborn - Ally	3	4	{L}{L}	Evasive (Only characters with Evasive can challenge this character.) | DISAPPEAR When you play this character, you may return chosen character to their player's hand.	
Mickey Mouse, Artful Rogue	tfc	210_en_mickey_mouse-716.jpg	E	Emerald	7	0	Hero - Floodborn	6	5	{L}{L}	Shift 5 (You may pay 5 {I} to play this on top of one of your characters named Mickey Mouse.) | MISDIRECTION Whenever you play an action, chosen opposing character can't quest during their next turn.	
Tinker Bell, Giant Fairy	tfc	216_en_tinker_bell-716.jpg	E	Steel	6	1	Floodborn - Ally - Fairy	4	5	{L}{L}	Shift 4 (You may pay 4 {I} to play this on top of one of your characters named Tinker Bell.) | ROCK THE BOAT When you play this character, deal 1 damage to each opposing character. |  | PUNY PIRATE! During your turn, whenever this character banishes another character in a challenge, you may deal 2 damage to chosen opposing character.	
Simba, Returned King	tfc	215_en_simba-716.jpg	E	Steel	7	1	Hero - Storyborn - King	4	6	{L}{L}	Challenger +4 (While challenging, this character gets | +4 {C}.) |  | POUNCE During your turn, this character gains  | Evasive. (They can challenge characters with Evasive.)	
Belle, Strange but Special	tfc	214_en_belle-716.jpg	E	Sapphire	4	1	Hero - Storyborn - Princess	2	4	{L}	READ A BOOK During your turn, you may put an additional card from your hand into your inkwell facedown. |  | MY FAVOURITE PART! While you have 10 or more cards in your inkwell, this character gets +4 {L}.	
Aurora, Dreaming Guardian	tfc	213_en_aurora-716.jpg	E	Sapphire	5	1	Hero - Floodborn - Princess	3	5	{L}{L}	Shift 3 (You may pay 3 {I} to play this on top of one of your characters named Aurora.)Protective Embrace Your other characters gain Ward. (Opponents can't choose them except to challenge.)	
Maui, Hero to All	tfc	212_en_maui-716.jpg	E	Ruby	5	1	Hero - Storyborn - Deity	6	5		Rush (This character can challenge the turn they're played.) |  | Reckless (This character can't quest and must challenge each turn if able.)	
Aladdin, Heroic Outlaw	tfc	211_en_aladdin-716.jpg	E	Ruby	7	1	Hero - Floodborn	5	7	{L}{L}	Shift 5 (You may pay 5 {I} to play this on top of one of your characters named Aladdin.) |  | DARING EXPLOIT During your turn, whenever this character banishes another character in a challenge, you gain 2 lore and each opponent loses 2 lore.	
Mickey Mouse, Wayward Sorcerer	tfc	208_en_mickey_mouse-716.jpg	E	Amethyst	4	1	Dreamborn - Sorcerer	3	4	{L}{L}	ANIMATE BROOM You pay 1 {I} less to play Broom characters. | CEASELESS WORKER Whenever one of your Broom characters is banished in a challenge, you may return that card to your hand.	
Elsa, Spirit of Winter	tfc	207_en_elsa-716.jpg	E	Amethyst	8	0	Hero - Floodborn - Queen - Sorcerer	4	6	{L}{L}{L}	Shift 6 (You may pay 6 {I} to play this on top of one of your characters named Elsa.) |  | DEEP FREEZE When you play this character, exert up to 2 chosen characters. They can't ready at the start of their next turn.	
Stitch, Carefree Surfer	tfc	206_en_stitch-716.jpg	E	Amber	7	1	Hero - Dreamborn - Alien	4	8	{L}{L}	OHANA When you play this character, if you have 2 or more other characters in play, you may draw 2 cards.	<s><l>Draw 2</l><f>/draw 2</f></s>
Hades, King of Olympus	tfc	205_en_hades-716.jpg	E	Amber	8	0	Floodborn - Villain - King - Deity	6	7	{L}	Shift 6 (You may pay 6 {I} to play this on top of one of your characters named Hades.) | Sinister plot This character gets +1 {L} for every other Villain character you have in play.	
Te Ka, Heartless	tfc	192_en_te_ka-716.jpg	L	Steel	6	1	Dreamborn - Villain - Deity	5	5	{L}{L}	SEEK THE HEART During your turn, whenever this character banishes another character in a challenge, you gain 2 lore.	
Starkey, Hook's Henchman	tfc	191_en_starkey-716.jpg	U	Steel	5	1	Storyborn - Pirate - Ally	5	4	{L}	AYE AYE, CAPTAIN While you have a Captain character in play, this character gets +1 {L}.	
Plasma Blaster	tfc	204_en_plasma_blaster-716.jpg	R	Steel	3	0	Item				QUICK SHOT {T}, 2 {I} - Deal 1 damage to chosen character.	
Lilo, Galactic Hero	tfc	184_en_lilo-716.jpg	U	Steel	3	1	Hero - Dreamborn	4	2	{L}{L}		
Aladdin, Cornered Swordsman	tfc	171_en_aladdin-716.jpg	C	Steel	2	1	Hero - Storyborn	2	1	{L}{L}		
Donald Duck, Musketeer	tfc	177_en_donald_duck-716.jpg	U	Steel	4	1	Hero - Dreamborn - Musketeer	2	5	{L}	Bodyguard (This character may enter play exerted. An opposing character who challenges one of your characters must choose one with Bodyguard if able.) |  | STAY ALERT! During your turn, your Musketeer characters gain Evasive. (They can challenge characters with Evasive.)	
Fishbone Quill	tfc	168_en_fishbone_quill-716.jpg	R	Sapphire	3	1	Item				GO AHEAD AND SIGN {T} - Put any card from your hand into your inkwell facedown.	
Eye of the Fates	tfc	167_en_eye_of_the_fates-716.jpg	U	Sapphire	4	1	Item				SEE THE FUTURE {T} - Chosen character gets +1 {L} this turn.	
Tamatoa, So Shiny!	tfc	159_en_tamatoa-716.jpg	SR	Sapphire	8	1	Storyborn - Villain	5	8	{L}	WHAT HAVE WE HERE? When you play this character and whenever he quests, you may return an item card from your discard to your hand. |  | GLAM This character gets +1 {L} for each item you have in play.	
Philoctetes, Trainer of Heroes	tfc	156_en_philoctetes-716.jpg	C	Sapphire	2	1	Storyborn - Mentor	3	1	{L}	Support (Whenever this character quests, you may add their {C} to another chosen character‘s {C} this turn.)	
Hades, Infernal Schemer	tfc	147_en_hades-716.jpg	L	Sapphire	7	0	Dreamborn - Villain - Deity	3	6	{L}{L}	IS THERE A DOWNSIDE TO THIS? When you play this character, you may put chosen opposing character into their player's inkwell facedown.	
